3277701;814082;
387577;176780;
268546;582963;
2031145;244597;
188677;461280;
3525472;265579;
2229583;682189;
3392074;420976;
3589815;832527;
1227873;810909;
1300699;146538;
3596968;421791;
3106757;779664;
221139;612603;
1496841;495985;
2860498;535719;
1450710;142352;
1745799;66373;
1404800;329680;
1769600;777809;
464511;672442;
2750803;165520;
1571006;91428;
1181660;857799;
661957;612812;
828567;798048;
3313914;216602;
3625645;538592;
3611238;584716;
2904519;465036;
3080431;245490;
3851167;574214;
944956;77006;
3834215;224878;
2179064;784896;
2716449;944268;
29780;931252;
95525;349743;
3835506;889721;
1142732;811691;
3747439;654886;
948862;122011;
160755;702042;
3288779;737797;
1356250;29101;
916260;596160;
1252876;500998;
2471178;396430;
2364922;992772;
2172301;283717;
671267;55467;
2165402;152000;
2661288;467768;
1926460;741190;
1899647;649203;
3829860;726794;
1133497;516173;
2309857;767935;
1371371;956664;
151858;284416;
2096938;411357;
1300490;720155;
3534799;181775;
1217877;460971;
2726977;699328;
682141;54686;
837813;912877;
799211;501878;
42015;689603;
520977;79651;
719720;445045;
197504;362730;
1724494;670107;
3574540;85280;
1416691;723741;
3037057;548241;
3644992;349585;
49575;13442;
1023898;977225;
1815563;328590;
2312471;520445;
855281;429980;
760641;724534;
1484940;793583;
2725697;764628;
2789323;243674;
3803611;251479;
1591552;431951;
3102531;674293;
565235;679348;
985402;187597;
2948159;311962;
1323618;644543;
552512;648435;
635387;474052;
3928676;204357;
780925;800335;
1872623;814694;
2759808;162941;
3504794;648843;
3683266;591750;
2441121;97041;
31457;462131;
3387011;79380;
1982598;588441;
2696483;242380;
1159278;190088;
576024;996298;
3538351;281543;
3304712;772580;
438501;884463;
1937908;826290;
1434005;338369;
3112876;655144;
413395;150636;
1358768;479656;
1731313;958690;
2130866;4658;
57906;933944;
1365225;699019;
3101071;982575;
331075;263808;
1086791;353972;
1996396;528335;
3845884;795806;
985853;434387;
1688165;938172;
161953;829518;
287702;857928;
972789;916516;
1305060;621873;
3515395;462665;
1736284;812699;
1788111;112125;
692963;831389;
459059;283671;
1421594;942622;
3222115;997386;
3055062;603635;
3439667;514822;
2742587;603127;
258403;395579;
1707936;209115;
3110911;819240;
2199103;812362;
1784882;387625;
1886291;684541;
2886793;942807;
2777400;706607;
1463492;491627;
2073286;916573;
3728174;954035;
78700;263543;
1373510;621810;
698877;482423;
448893;98618;
735566;119708;
2724216;580730;
1635384;533324;
1288393;847085;
1185280;543564;
452272;709280;
1020964;583399;
3465723;524960;
2532696;959479;
985995;8335;
2750285;620354;
2577899;245998;
3036657;930898;
1564616;954967;
1518451;978359;
3142274;434848;
1483197;185676;
1293469;897792;
3176521;47388;
398666;166009;
1717029;111247;
2777236;26691;
2702432;510408;
1807774;762573;
2882574;514511;
3299730;231124;
725724;585824;
2926980;244504;
1434889;489006;
3612030;621951;
1258017;242269;
1286561;568048;
689474;760472;
598052;279905;
3499457;153595;
3093691;158748;
1431273;568599;
460369;295192;
884156;513333;
3275009;432164;
1164767;629180;
39219;52828;
2412745;512430;
833625;325255;
725273;3965634;
573147;2923034;
1177763;2565923;
661644;3973707;
652245;2253018;
812158;3260725;
652892;1693079;
963136;4958545;
1328618;3566781;
1496690;5272268;
1152723;3543348;
1369882;2380564;
1493890;4247095;
1345490;5278332;
819666;4616232;
1107822;4153609;
1283312;4321069;
748762;1619142;
821916;4852253;
907950;3163114;
1060966;1963245;
1205340;4321613;
1477937;5039480;
1097946;2953946;
938634;3012962;
780331;5235518;
903332;4814365;
559100;3571814;
1173636;2044423;
1347315;5234000;
1288732;2683106;
1376571;2091435;
892292;3810590;
703477;3956213;
1142235;4972135;
1001787;4217102;
777779;4493622;
652697;4836891;
721173;2798064;
967501;5367249;
1334662;2597372;
1368845;1770000;
776253;4234287;
746947;4667021;
1411469;4074821;
740597;4389994;
1184165;3031102;
1452709;4177391;
1341934;4679407;
759816;3996869;
1273906;1534234;
891859;5165834;
1011748;3999350;
1054506;2504006;
1021894;4436951;
1249096;3361231;
596855;2324431;
641770;4391472;
1041153;1863353;
1220983;4447128;
850268;2060747;
1312062;1586404;
707436;3389818;
1019010;4508529;
783086;2760037;
740400;1656725;
520800;1722157;
1381679;1903451;
658734;2418634;
611377;1720026;
1099438;3206013;
1361092;4829104;
876255;2389184;
690748;5011891;
701393;3863155;
1253097;4650538;
1057211;3862135;
1241162;1700000;
840611;4937659;
519795;2816374;
1235160;3869624;
584467;1922548;
1418398;1710000;
1370529;3740063;
966071;4685020;
748149;4103231;
533105;2028217;
813012;4871033;
1380626;5043905;
1038899;5385811;
1174998;4070992;
1482927;3678969;
795556;4257588;
550885;1687598;
597946;3506649;
1219187;3456902;
1422764;3827562;
1265363;1935044;
1139539;2153101;
668471;3331001;
3841499;2712392;
3265874;3353799;
2419956;2641744;
3131922;2592680;
1919251;3015192;
3653976;2494605;
3214530;1966662;
2781111;2277463;
2402959;2802239;
3182097;2135258;
3198566;3048673;
2505896;2598232;
2983629;2547538;
2700613;2653876;
2507695;2471939;
2878039;2268676;
2568892;2687723;
2693940;3019875;
3527832;3153919;
3203677;2218877;
2777954;2822901;
3783050;2089020;
3304181;3017798;
3977555;2505972;
3263746;2587482;
3045912;3185275;
2879968;1668478;
3233598;2545167;
4229498;2065402;
2379583;1876676;
3162948;2754962;
2428762;2338170;
3541297;2338670;
2638412;2533631;
2783332;2325860;
3186008;2274951;
2027834;2851225;
2191808;2174140;
2681085;2396655;
2987601;2697320;
2783705;2178922;
2726431;2496669;
3236021;2751028;
3104434;2561753;
2393173;3532294;
2597097;1977501;
2878632;2909410;
3326832;2811118;
3196477;2166446;
2653013;2265335;
2855684;2526266;
3032148;2495063;
